grid_id,min_lat,max_lat,min_lon,max_lon,center_lat,center_lon,attack_count,risk_score,event_ids
1,-15.0,-14.0,40.0,41.0,-14.5,40.5,1,1,3
2,-13.0,-12.0,-78.0,-77.0,-12.5,-77.5,11,4,"22,41,47,60,69,77,95,97,101,105,117"
3,-12.0,-11.0,-78.0,-77.0,-11.5,-77.5,2,1,"24,29"
4,-9.0,-8.0,13.0,14.0,-8.5,13.5,3,2,"28,79,94"
5,-7.0,-6.0,106.0,107.0,-6.5,106.5,1,1,52
6,-7.0,-6.0,108.0,109.0,-6.5,108.5,1,1,112
7,-6.0,-5.0,9.0,10.0,-5.5,9.5,1,1,88
8,-6.0,-5.0,105.0,106.0,-5.5,105.5,3,2,"46,96,111"
9,-3.0,-2.0,-81.0,-80.0,-2.5,-80.5,1,1,64
10,0.0,1.0,-51.0,-50.0,0.5,-50.5,1,1,104
11,0.0,1.0,-5.0,-4.0,0.5,-4.5,1,1,78
12,0.0,1.0,9.0,10.0,0.5,9.5,1,1,70
13,1.0,2.0,101.0,102.0,1.5,101.5,6,3,"1,8,11,23,57,93"
14,1.0,2.0,103.0,104.0,1.5,103.5,27,4,"6,12,15,16,17,19,27,31,32,33,35,39,40,45,48,49,58,61,67,73,83,86,89,92,99,108,110"
15,1.0,2.0,104.0,105.0,1.5,104.5,13,4,"34,38,43,59,63,66,71,74,103,106,109,115,116"
16,3.0,4.0,98.0,99.0,3.5,98.5,6,3,"9,10,18,30,85,98"
17,4.0,5.0,-7.0,-6.0,4.5,-6.5,1,1,90
18,4.0,5.0,-2.0,-1.0,4.5,-1.5,6,3,"20,37,50,56,102,113"
19,4.0,5.0,9.0,10.0,4.5,9.5,3,2,"53,54,55"
20,5.0,6.0,118.0,119.0,5.5,118.5,1,1,14
21,6.0,7.0,3.0,4.0,6.5,3.5,2,1,"25,76"
22,8.0,9.0,-80.0,-79.0,8.5,-79.5,1,1,82
23,8.0,9.0,-14.0,-13.0,8.5,-13.5,2,1,"26,44"
24,9.0,10.0,-14.0,-13.0,9.5,-13.5,2,1,"51,62"
25,10.0,11.0,-76.0,-75.0,10.5,-75.5,1,1,114
26,10.0,11.0,107.0,108.0,10.5,107.5,3,2,"13,65,84"
27,12.0,13.0,-73.0,-72.0,12.5,-72.5,1,1,107
28,12.0,13.0,61.0,62.0,12.5,61.5,1,1,2
29,13.0,14.0,120.0,121.0,13.5,120.5,1,1,42
30,14.0,15.0,120.0,121.0,14.5,120.5,8,3,"4,7,36,68,81,87,91,100"
31,22.0,23.0,69.0,70.0,22.5,69.5,1,1,5
32,22.0,23.0,70.0,71.0,22.5,70.5,1,1,80
33,22.0,23.0,88.0,89.0,22.5,88.5,1,1,75
34,22.0,23.0,91.0,92.0,22.5,91.5,1,1,72
35,31.0,32.0,32.0,33.0,31.5,32.5,1,1,21
