"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note",ReporterISOCode,PartnerISOCode,Industry,DutyType,StandardizedAVRate,SpecificDutyAmount,Currency,Unit,OriginalSpecificDuty
156,China,000,World,2023,10121000,,0,2,0,"","--Pure-bred breeding","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10121000,,5,2,0,"","--Pure-bred breeding","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10121000,,5,3,0,"","--Pure-bred breeding","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10121000,,5,4,0,"","--Pure-bred breeding","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10129000,,0,2,10,"","--Other","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10129000,,5,2,0,"","--Other","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10129000,,5,3,0,"","--Other","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10129000,,5,4,0,"","--Other","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10130100,,0,2,0,"","---Pure-bred breeding","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10130100,,5,2,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10130100,,5,3,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10130100,,5,4,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10130900,,0,2,10,"","---Other","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10130900,,5,2,0,"","---Other","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10130900,,5,3,0,"","---Other","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10130900,,5,4,0,"","---Other","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10190000,,0,2,10,"","-Other","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10190000,,5,2,0,"","-Other","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10190000,,5,3,0,"","-Other","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10190000,,5,4,0,"","-Other","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10221000,,0,2,0,"","--Pure-bred breeding","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10221000,,5,2,0,"","--Pure-bred breeding","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10221000,,5,3,0,"","--Pure-bred breeding","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10221000,,5,4,0,"","--Pure-bred breeding","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10229000,,0,2,10,"","--Other","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10229000,,5,2,0,"","--Other","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10229000,,5,3,0,"","--Other","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10229000,,5,4,0,"","--Other","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10231000,,0,2,0,"","--Pure-bred breeding","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10231000,,5,2,0,"","--Pure-bred breeding","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10231000,,5,3,0,"","--Pure-bred breeding","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10231000,,5,4,0,"","--Pure-bred breeding","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10239000,,0,2,10,"","--Other","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10239000,,5,2,0,"","--Other","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10239000,,5,3,0,"","--Other","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10239000,,5,4,0,"","--Other","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10290100,,0,2,0,"","---Pure-bred breeding","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10290100,,5,2,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10290100,,5,3,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10290100,,5,4,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10290900,,0,2,10,"","---Other","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10290900,,5,2,0,"","---Other","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10290900,,5,3,0,"","---Other","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10290900,,5,4,0,"","---Other","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10310000,,0,2,0,"","-Pure-bred breeding","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10310000,,5,2,0,"","-Pure-bred breeding","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10310000,,5,3,0,"","-Pure-bred breeding","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10310000,,5,4,0,"","-Pure-bred breeding","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10391100,,0,2,10,"","---Weighing less than 10kg","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10391100,,5,2,0,"","---Weighing less than 10kg","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10391100,,5,3,0,"","---Weighing less than 10kg","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10391100,,5,4,0,"","---Weighing less than 10kg","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10391200,,0,2,10,"","---Weighing 10kg or more, but less than 50kg","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10391200,,5,2,0,"","---Weighing 10kg or more, but less than 50kg","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10391200,,5,3,0,"","---Weighing 10kg or more, but less than 50kg","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10391200,,5,4,0,"","---Weighing 10kg or more, but less than 50kg","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10392000,,0,2,10,"","--Weighing 50kg or more","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10392000,,5,2,0,"","--Weighing 50kg or more","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10392000,,5,3,0,"","--Weighing 50kg or more","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10392000,,5,4,0,"","--Weighing 50kg or more","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10410100,,0,2,0,"","---Pure-bred breeding","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10410100,,5,2,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10410100,,5,3,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10410100,,5,4,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10410900,,0,2,10,"","---Other","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10410900,,5,2,0,"","---Other","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10410900,,5,3,0,"","---Other","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10410900,,5,4,0,"","---Other","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10420100,,0,2,0,"","---Pure-bred breeding","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10420100,,5,2,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10420100,,5,3,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10420100,,5,4,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10420900,,0,2,10,"","---Other","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10420900,,5,2,0,"","---Other","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10420900,,5,3,0,"","---Other","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10420900,,5,4,0,"","---Other","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10511100,,0,2,0,"","---Pure-bred breeding","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10511100,,5,2,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10511100,,5,3,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10511100,,5,4,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10511900,,0,2,10,"","---Other","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10511900,,5,2,0,"","---Other","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10511900,,5,3,0,"","---Other","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10511900,,5,4,0,"","---Other","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10512100,,0,2,0,"","---Pure-bred breeding","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10512100,,5,2,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10512100,,5,3,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10512100,,5,4,0,"","---Pure-bred breeding","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10512900,,0,2,10,"","---Other","MFN applied duty rates","A","",,CHN,WLD,Agriculture,CONDITIONAL,10,0,,,""
156,China,000,World,2023,10512900,,5,2,0,"","---Other","Least-developed countries (LDC) duties for 42 countries","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10512900,,5,3,0,"","---Other","Least-developed countries (LDC) duties for Timor-Leste and Myanmar","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
156,China,000,World,2023,10512900,,5,4,0,"","---Other","Least-developed countries (LDC) duties for 16 countries (implemented on September 1st, 2022)","A","",,CHN,WLD,Agriculture,CONDITIONAL,0,0,,,""
