"Reporter","ReporterName","Partner","PartnerName","Year","TL","TLS","Duty Type","Duty Code","AV Duty Rate","Specific Duty Rate","TrfLineDescription","DutyTypeDescription","Duty Nature","AvMethod","Note",Industry
"392","japan","000"," World",2023,10121100,,0,"1  ",0,"","---1 Certified as being those other than Thoroughbred, Thoroughbred-grade, Arab, Anglo-Arab or Arab-grade horses (hereinafter referred to as ""light-breed horses"") in accordance with the provisions of the Cabinet Order for Enforcement of the Customs Tariff Law (hereinafter referred to as ""Cabinet Order"")","MFN current bound duty rates",Agriculture
"392","japan","000"," World",2023,10121210,,0,"1  ",0,"","----(1) ""Light-breed horses"" certified as being those used for purposes other than horse-race and as being not pregnant in accordance with the provisions of a Cabinet Order","MFN current bound duty rates","A","","",Agriculture
"392","japan","000"," World",2023,10121290,,0,"1  ",,"3,400,000yen/each","----(2) Other","MFN current bound duty rates","S",Agriculture
"392","japan","000"," World",2023,10121290,,1,"F  ",0,"","----(2) Other","Japan-EU EPA","A","","",Agriculture
"392","japan","000"," World",2023,10121290,,8,"0  ",,"4,000,000yen/each","----(2) Other","General duty","S",Agriculture
"392","japan","000"," World",2023,10129100,,0,"1  ",0,"","---1 Certified as being not ""light-breed horses"" in accordance with the provisions of a Cabinet Order","MFN current bound duty rates","A","","",Agriculture
"392","japan","000"," World",2023,10129210,,0,"1  ",0,"","----(1) ""Light-breed horses"" certified as being those used for purposes other than horse-race and as being not pregnant in accordance with the provisions of a Cabinet Order","MFN current bound duty rates","A","","",Agriculture
"392","japan","000"," World",2023,10129290,,0,"1  ",,"3,400,000yen/each","----(2) Other","MFN current bound duty rates","S",Agriculture
"392","japan","000"," World",2023,10129290,,1,"F  ",,"2,125,000yen/each","----(2) Other","Japan-EU EPA","S",Agriculture
"392","japan","000"," World",2023,10129290,,5,"0  ",0,"","----(2) Other","Least Developed Countries (LDC) duties","A","","",Agriculture
"392","japan","000"," World",2023,10129290,,8,"0  ",,"4,000,000yen/each","----(2) Other","General duty","S",Agriculture
"392","japan","000"," World",2023,10130000,,0,"1  ",0,"","-Asses","MFN current bound duty rates","A","","",Agriculture
"392","japan","000"," World",2023,10190000,,0,"1  ",0,"","-Other","MFN current bound duty rates","A","","",Agriculture
"392","japan","000"," World",2023,10221000,,0,"1  ",0,"","--Pure-bred breeding animals","MFN current bound duty rates","A","","",Agriculture
"392","japan","000"," World",2023,10229100,,0,"1  ",,"38,250yen/each","---1 Weighing not more than 300 kg","MFN current bound duty rates","S","",Agriculture
"392","japan","000"," World",2023,10229100,,1,"D  ",,"30,600yen/each","---1 Weighing not more than 300 kg","Free-trade agreement duty rate for Australia","S","",Agriculture
"392","japan","000"," World",2023,10229100,,1,"F  ",,"23,906.25yen/each","---1 Weighing not more than 300 kg","Japan-EU EPA","S","",Agriculture
"392","japan","000"," World",2023,10229100,,5,"0  ",0,"","---1 Weighing not more than 300 kg","Least Developed Countries (LDC) duties","A","","",Agriculture
"392","japan","000"," World",2023,10229100,,8,"0  ",,"45,000yen/each","---1 Weighing not more than 300 kg","General duty","S","",Agriculture
"392","japan","000"," World",2023,10229200,,0,"1  ",,"63,750yen/each","---2 Other","MFN current bound duty rates","S","",Agriculture
"392","japan","000"," World",2023,10229200,,1,"D  ",,"51,000yen/each","---2 Other","Free-trade agreement duty rate for Australia","S","",Agriculture
"392","japan","000"," World",2023,10229200,,1,"F  ",,"39,843.75yen/each","---2 Other","Japan-EU EPA","S","",Agriculture
"392","japan","000"," World",2023,10229200,,5,"0  ",0,"","---2 Other","Least Developed Countries (LDC) duties","A","","",Agriculture
"392","japan","000"," World",2023,10231000,,0,"1  ",0,"","--Pure-bred breeding animals","MFN current bound duty rates","A","","",Agriculture
"392","japan","000"," World",2023,10239000,,0,"1  ",0,"","--Other","MFN current bound duty rates","A","","",Agriculture
"392","japan","000"," World",2023,10290100,,0,"1  ",0,"","--1 Pure-bred breeding animals","MFN current bound duty rates","A","","",Agriculture
"392","japan","000"," World",2023,10290210,,0,"1  ",,"38,250yen/each","---(1) Weighing not more than 300 kg","MFN current bound duty rates","S","",Agriculture
