Reporter,ReporterName,Partner,PartnerName,Year,TL,TLS,Duty Type,Duty Code,AV Duty Rate,Specific Duty Rate,TrfLineDescription,DutyTypeDescription,Duty Nature,AvMethod,Note,ReporterISOCode,PartnerISOCode,Industry,DutyType,StandardizedAVRate,SpecificDutyAmount,Currency,Unit,OriginalSpecificDuty
840,United States,000,World,2023,10121000,,0,2,0,,Live purebred breeding horses,MFN applied duty rates,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,0,0,,Live purebred breeding horses,Free-trade area duty rates for Canada under the NAFTA,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,1,0,,Live purebred breeding horses,Free-trade area duty rates for Mexico under the NAFTA,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,2,0,,Live purebred breeding horses,Free-trade agreement duty rate for Israel,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,3,0,,Live purebred breeding horses,Free-trade agreement duty rate for Bahrain,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,4,0,,Live purebred breeding horses,Free-trade agreement duty rate for Canada under the Automotive Products Trade Act (APTA),A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,5,0,,Live purebred breeding horses,Free-trade agreement duty rate for Jordan,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,6,0,,Live purebred breeding horses,Free-trade agreement duty rate for Singapore,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,7,0,,Live purebred breeding horses,Free-trade agreement duty rate for Chile,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,8,0,,Live purebred breeding horses,Free-trade agreement duty rate for Australia,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,9,0,,Live purebred breeding horses,Free-trade agreement duty rate for Morocco,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,A  ,0,,Live purebred breeding horses,Free Trade Area duty rate for Dominican Rep. and Central America (DR-CAFTA),A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,B  ,0,,Live purebred breeding horses,Free-trade agreement duty rate for Oman,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,C  ,0,,Live purebred breeding horses,Free-trade agreement duty rate for Peru,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,D  ,0,,Live purebred breeding horses,Free-trade agreement duty rate for Korea,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,E  ,0,,Live purebred breeding horses,Free-trade agreement duty rate for Colombia,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,F  ,0,,Live purebred breeding horses,Free-trade agreement duty rate for Panama,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,G  ,0,,Live purebred breeding horses,USA - Nepal preference program,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,H  ,0,,Live purebred breeding horses,Free-trade agreement duty rate for Japan,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,1,I  ,0,,Live purebred breeding horses,United States-Mexico-Canada Agreement (USMCA/CUSMA/T-MEC),A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,3,0,0,,Live purebred breeding horses,Preferential duty rate for the Caribbean Basin Economic Recovery Act (CBERA),A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,3,1,0,,Live purebred breeding horses,Preferential duty rate for the Caribbean Basin Trade Partnership Act (CBTPA),A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,3,3,0,,Live purebred breeding horses,Preferential duty rate under the African Growth and Opportunity Act (AGOA),A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
840,United States,000,World,2023,10121000,,4,0,0,,Live purebred breeding horses,Generalized System of Preferences (GSP) scheme,A,,,USA,WLD,Agriculture,AD_VALOREM,0,0,,,
