S/N,HS Code,HS Description,HS Qty Unit,Competent Authorities - Controlling by HS Code,,,CA Product Code,CA Product Description,CA Product Qty Unit,Competent Authorities - Controlling by Product Code,,,Duty Rates,
,,,,Import,Export,Transhipment,,,,Import,Export,Transhipment,Customs Duty,Excise Duty
1,01012100,PURE BRED BREEDING HORSES (NMB),NMB,ANI,ANI,ANI,VBA0HO,LIVE PURE BRED BREEDING HORSES,NMB,ANI,ANI,ANI,-,-
2,01012900,OTHER LIVE HORSES (NMB),NMB,ANI,ANI,ANI,VPA0HO,LIVE HORSE FOR RACING,NMB,ANI,ANI,ANI,-,-
3,01012900,OTHER LIVE HORSES (NMB),NMB,ANI,ANI,ANI,VPA0PO,LIVE PONIES,NMB,ANI,ANI,ANI,-,-
4,01013010,PURE BRED BREEDING ASSES (NMB),NMB,-,-,-,-,-,-,-,-,-,-,-
5,01013090,OTHER LIVE ASSES (NMB),NMB,ANI,ANI,ANI,-,-,-,-,-,-,-,-
6,01019000,LIVE MULES & HINNIES (NMB),NMB,ANI,ANI,ANI,-,-,-,-,-,-,-,-
7,01022100,PURE BRED BREEDING CATTLE (NMB),NMB,L&A,L&A,L&A,VBA0BC,LIVE PURE BRED BREEDING CATTLE,NMB,L&A,L&A,L&A,-,-
8,01022911,OTHER LIVE OXEN CATTLE (NMB),NMB,L&A,L&A,L&A,VMA0OX,LIVE OXEN FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
9,01022919,OTHER LIVE MALE CATTLE (NMB),NMB,-,-,-,-,-,-,-,-,-,-,-
10,01022990,OTHER LIVE CATTLE (NMB),NMB,-,-,-,-,-,-,-,-,-,-,-
11,01023100,PURE BRED BREEDING BUFFALO (NMB),NMB,-,-,-,-,-,-,-,-,-,-,-
12,01023900,OTHER LIVE BUFFALO (NMB),NMB,L&A,L&A,L&A,VMA0BU,LIVE BUFFALOES FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
13,01029010,OTHER PURE BRED BREEDING BOVINE ANIMALS (NMB),NMB,-,-,-,-,-,-,-,-,-,-,-
14,01029090,OTHER LIVE BOVINE ANIMALS (NMB),NMB,-,-,-,-,-,-,-,-,-,-,-
15,01031000,PURE BRED BREEDING SWINE (NMB),NMB,L&A,L&A,L&A,VBA0BP,LIVE PURE BRED BREEDING PIGS,NMB,L&A,L&A,L&A,-,-
16,01039100,OTHER LIVE SWINE BELOW 50KG (NMB),NMB,L&A,L&A,L&A,VMA0PK,LIVE PORKERS < 50 KG FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
17,01039100,OTHER LIVE SWINE BELOW 50KG (NMB),NMB,L&A,L&A,L&A,VMA0PL,LIVE PIGLETS <50 KG FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
18,01039200,OTHER LIVE SWINE AT LEAST 50KG (NMB),NMB,L&A,L&A,L&A,VMA0PK,LIVE PORKERS >= 50 KG FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
19,01039200,OTHER LIVE SWINE AT LEAST 50KG (NMB),NMB,L&A,L&A,L&A,VMA0SW,LIVE SOWS >= 50 KG FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
20,01041010,PURE BRED BREEDING SHEEP (NMB),NMB,L&A,L&A,L&A,VBA0BS,LIVE PURE BRED BREEDING SHEEP,NMB,L&A,L&A,L&A,-,-
21,01041090,OTHER LIVE SHEEP (NMB),NMB,L&A,L&A,L&A,VMA0SH,LIVE SHEEP FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
22,01042010,PURE BRED BREEDING GOATS (NMB),NMB,L&A,L&A,L&A,VBA0BG,LIVE PURE BRED BREEDING GOATS,NMB,L&A,L&A,L&A,-,-
23,01042090,OTHER LIVE GOATS (NMB),NMB,L&A,L&A,L&A,VMA0GO,LIVE GOATS FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
24,01051110,BREEDING FOWLS OF GALLUS DOMESTICUS 185G OR LESS (NMB),NMB,L&A,L&A,L&A,VBP0DC,LIVE BREEDING DAY-OLD CHICKS < 185 G,NMB,L&A,L&A,L&A,-,-
25,01051190,OTHER LIVE FOWLS OF GALLUS DOMESTICUS 185G OR LESS (NMB),NMB,L&A,L&A,L&A,VPL0CH,LIVE CHICKENS < 185 G FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
26,01051210,BREEDING TURKEYS 185G OR LESS (NMB),NMB,L&A,L&A,L&A,VBP0DT,LIVE BREEDING DAY-OLD TURKEYS < 185 G,NMB,L&A,L&A,L&A,-,-
27,01051290,OTHER LIVE TURKEYS 185G OR LESS (NMB),NMB,L&A,L&A,L&A,VPL0TU,LIVE TURKEYS < 185 G FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
